index,disease_name,description,Possible Steps,image_url
10,Mısır : Kuzey Yaprak Yanıklığı,"Kuzey mısır yaprak yanıklığı (NCLB), Setosphaeria turcica mantarı tarafından meydana gelir. Belirtiler genellikle ilk önce alt yapraklarda görülür. Yaprak lezyonları uzundur (1 ila 6 inç) ve eliptiktir, ilk başta gri-yeşildir ancak daha sonra soluk gri veya kahverengiye döner. Nemli koşullar altında, genellikle alt yaprak yüzeyinde koyu gri sporlar üretilir ve bu da lezyonlara ""kirli"" gri bir görünüm verir. Şiddetli şekilde yanıklanmış bitkilerdeki tüm yapraklar ölebilir, bu nedenle tek tek lezyonlar görünmez. Lezyonlar başakların dış kabuğunda meydana gelebilir ancak çekirdekler enfekte değildir. Mantara karşı direnç için bir Ht geni içeren melezlerde, lezyonlar daha küçük, klorotiktir ve doğrusal çizgilere dönüşebilir. Bu lezyonlar nadiren spor üretir.","Fungisit uygulamaları Kuzey Mısır Yaprak Yanıklığı hasarını azalttı ve verimi korudu. Fungisit değeri, hassas mısır melezlerinde verimi azaltmada daha yüksekti. Fungisitler, hastalık başlangıcında uygulanırsa en etkiliydi. Hastalığın başlangıcı büyüme aşamalarına göre değişiyordu ve bu nedenle fungisitleri uygulamak için en iyi aşamaydı.",https://crop-protection-network.s3.amazonaws.com/articles/NLB-Daren-Mueller-02.jpg
11,Mısır : Sağlıklı,"Mısır bitkileri gündüzleri 75 ila 80 derece Fahrenheit ve geceleri 65 ila 70 derece Fahrenheit sıcaklıklarını tercih eder. Toprak sürekli nemli tutulmalı, ancak ıslak olmamalıdır ve sadece 6 ayda bir gübreye ihtiyaçları vardır. Dracaena düşük ışık koşullarına dayanabilmesine rağmen, parlak ancak dolaylı ışığa yerleştirildiğinde en iyi performansı gösterir. Bir bitkinin birkaç sarı yaprak üretmesi doğaldır, bunda endişelenecek bir şey yoktur. Ancak aynı anda çok sayıda sarı yaprak üretiyorsa, diyelim ki beş veya altı, aşırı sulama yapıyor olabilirsiniz veya bitki ışık eksikliğinden muzdarip olabilir.","Mısırın birçok sağlık faydası vardır. Yüksek lif içeriği nedeniyle sindirime yardımcı olabilir. Ayrıca genel sağlığınız için önemli olan değerli B vitaminleri içerir. Mısır ayrıca vücudumuza çinko, magnezyum, bakır, demir ve manganez gibi temel mineraller sağlar.",https://c8.alamy.com/comp/A85TR2/mısır-mısır-bitkisinin-sağlıklı-yeşil-yaprakları-oldukça-açılan-A85TR2.jpg
12,Üzüm : Siyah Çürüklük,"Üzüm siyah çürüklüğü, sıcak ve nemli havalarda üzüm asmalarına saldıran bir ascomycetous mantarı olan Guignardia bidwellii'nin neden olduğu bir mantar hastalığıdır. ""Üzüm siyah çürüklüğü, doğu Kuzey Amerika'da ortaya çıkmıştır ancak artık Avrupa, Güney Amerika ve Asya'nın bazı kısımlarında görülmektedir. Sıcak ve nemli iklimlerde tam ürün kaybına neden olabilir ancak kurak yazların yaşandığı bölgelerde neredeyse hiç görülmez."" Adı, yapraklarda büyüyen kahverengi lekelerin sınırını oluşturan siyah saçaktan gelir. Hastalık ayrıca bitkinin diğer kısımlarına da saldırır, ""asmanın tüm yeşil kısımları: sürgünler, yaprak ve meyve sapları, filizler ve meyve. En zararlı etkisi meyveyedir""","Mancozeb, BONIDE MANCOZEB FLOWABLE fungisit olarak mevcuttur. %37 Mancozeb içerir ve siyah çürümeyi kontrol etmede çok etkili olmalıdır. Nova (miklobutanil), IMMUNOX FUNGICIDE olarak mevcuttur. %1,55 miklobutanildir ve siyah çürümeyi kontrol etmede etkili olmalıdır.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Guignardia_bidwellii_08.jpg/330px-Guignardia_bidwellii_08.jpg
13,Üzüm : Esca | Kara Kızamık,"Üzüm kızamığı, esca, kara kızamık veya İspanyol kızamığı olarak da bilinir, semptomlarının gizemli ifadesi ve uzun süredir tanımlanabilir nedensel organizma(lar)ın eksikliği ile üzüm yetiştiricilerini uzun süredir rahatsız etmektedir. 'Kızamık' adı, meyvede bulunan yüzeysel noktalara atıfta bulunur (Şekil 1). Sezon boyunca, noktalar kabuk yüzeyinde birleşerek meyveleri siyah görünüme kavuşturabilir. Lekelenme, meyve tutumu ile hasattan birkaç gün önce herhangi bir zamanda gelişebilir. Meyve tutumunda etkilenen meyveler olgunlaşma eğiliminde olmaz ve buruşup kurur. Lekelenmeye ek olarak, sezonun ilerleyen dönemlerinde etkilenen meyvelerde acı bir tat da olur. Yaprak semptomları, enfeksiyonlar yıldan yıla şiddetli olduğunda bir 'kaplan çizgisi' deseni (Şekil 2-alt yaprak) ile karakterize edilir. Hafif enfeksiyonlar, diğer hastalıklarla veya besin eksiklikleriyle karıştırılabilen yaprak semptomlarına (Şekil 2-üst yaprak) neden olabilir. Beyaz çeşitler kloroz ve ardından nekroz alanları gösterirken, kırmızı çeşitler kırmızı ve ardından nekroz alanları ile karakterize edilir. İlkbaharın erken belirtileri arasında sürgün ucu ölümü, yaprak renk bozulması ve şiddetli vakalarda tam yaprak dökülmesi bulunur.","Bugüne kadar bu hastalığı kontrol altına almak için etkili bir yöntem yoktur. Enfekte meyveleri, yaprakları ve gövdeyi çıkarın ve yok edin. Mantar enfeksiyonunu en aza indirmek için kuru erik yaralarını yara kapatıcı (akrilik boyada %5 borik asit) veya esansiyel yağ veya uygun mantar öldürücüler kullanarak koruyun.",https://www.researchgate.net/profile/Laura-Mugnai/publication/43161073/figure/fig1/AS:340404659605512@1458 170203496/Asmada-kloroz-esca-ve-yapraklarda-nekrozun-gösterilmesiyle ilişkili semptomlar_Q320.jpg
14,Üzüm : Yaprak Yanıklığı | Isariopsis Yaprak Lekesi,"Mantar, asmanın tüm yeşil kısımlarına saldırabilen zorunlu bir patojendir. Bu hastalığın belirtileri sıklıkla külleme hastalığının belirtileriyle karıştırılır. Enfekte yapraklarda soluk sarı-yeşil lezyonlar gelişir ve bunlar giderek kahverengiye döner. Ciddi şekilde enfekte olmuş yapraklar genellikle erken düşer. Enfekte olmuş yaprak sapları, sülükler ve sürgünler genellikle kıvrılır, çoban asası şeklini alır ve sonunda kahverengiye döner ve ölür. Genç meyveler enfeksiyona karşı oldukça hassastır ve genellikle mantarın beyaz meyve yapılarıyla kaplıdır. Beyaz çeşitlerin enfekte olmuş yaşlı meyveleri donuk gri-yeşile dönerken, siyah çeşitlerin meyveleri pembemsi kırmızıya döner.","İnokulum seviyelerini azaltmak için uykuda spreyler uygulayın. Kesin. O gölgeliği açın. Savunmanızı düşürmeyin. Erken keşif yapın, sık keşif yapın. Koruyucu ve sistemik mantar öldürücüler kullanın. Mantar öldürücü direncini göz önünde bulundurun. Havayı izleyin.",https://www.goodfruit.com/wp-content/uploads/Black-rot-lesions-on-leaves-indicate-potential-for-fruit-infection-1-feat2.jpg
15,Üzüm : Sağlıklı,"Sadece kök bölgesine su uygulayın. Üzüm yapraklarının ıslanmasından kaçının çünkü bu birçok üzüm hastalığına yol açabilir. Sonbaharda genç asmaların sulanmasını azaltın, böylece bitkinin kışa hazırlanmak için kamışlarını sertleştirmesi teşvik edilir. Daha yaşlı asmaların kumlu veya çok iyi drenajlı topraklarda olmadığı sürece nadiren sulanması gerekir.","Besinlerle, özellikle C ve K Vitaminleriyle doludur. Yüksek Antioksidan İçeriği Kronik Hastalıkları Önleyebilir. Bitkisel Bileşikler Bazı Kanser Türlerine Karşı Koruyabilir. Kalp Sağlığı İçin Çeşitli Etkileyici Şekillerde Faydalıdır. Kan Şekeri Seviyelerini Azaltabilir ve Diyabete Karşı Koruyabilir.",https://images.indianexpress.com/2021/02/grapes-1200.jpg
16,Turuncu : Haunglongbing | Citrus Greening,"Turunçgil yeşillenmesi hastalığı, vektör yoluyla bulaşan bir patojenin neden olduğu bir turunçgil hastalığıdır. HLB, damarların ve bitişik dokuların sararması gibi yaygın semptomlarla ayırt edilir; bunu tüm yaprağın benekli beneklenmesi, erken yaprak dökümü, dalların geriye doğru ölmesi, besleyici kökçüklerin ve yan köklerin çürümesi ve canlılıkta azalma ve en sonunda tüm bitkinin ölümü izler. Etkilenen ağaçlar bodurlaşır, çok sayıda mevsim dışı çiçek taşır (çoğu düşer) ve alt kısmı yeşil kalan ve çok acı tadı olan kalın, soluk bir kabuğa sahip küçük, düzensiz şekilli meyveler üretir. Yaygın semptomlar genellikle besin eksiklikleriyle karıştırılabilir; ancak besin eksiklikleri arasındaki ayırt edici faktör simetri desenidir. Besin eksiklikleri yaprak damar kenarı boyunca simetrik olma eğilimindeyken, HLB'de damar etrafında asimetrik bir sararma vardır. HLB'nin en belirgin semptomu, özellikle olgunlaşmadan sonra meyvenin yeşillenmesi ve bodurlaşmasıdır","Narenciye Yeşillenme Hastalığının yayılmasını önlemenin tek yolu ACP'yi (Asya Narenciye Psyllid) kontrol altına almaktır. Narenciye çok popüler ve yaygın olarak ekilen bir bahçe ağacı olduğundan, ev sahipleri bu önemli mücadelenin ön saflarındadır. Limon ağacına hem yaprakların üst hem de alt taraflarına Neem yağı böcek ilacı püskürtün. İstilanın boyutuna bağlı olarak 10-14 günde bir tekrarlamanız gerekebilir. Ardından küf büyümesini sıvı bakır mantar ilacı ile tedavi edin.",https://www.universityofcalifornia.edu/sites/default/files/CitrusGreening.jpg
17,Şeftali : Bakteri Lekesi,"Bakteriyel leke, Xanthomonas campestris pv. pruni'nin neden olduğu şeftali, nektarin, kayısı ve eriklerde görülen önemli bir hastalıktır. Bu hastalığın belirtileri arasında meyve lekeleri, yaprak lekeleri ve dal kanserleri bulunur. Meyve belirtileri arasında çukurlaşma, çatlama, sakızlanma ve suyla ıslanmış doku bulunur ve bu da meyveyi kahverengi çürümeye, rizopusa ve diğer mantar enfeksiyonlarına karşı daha duyarlı hale getirebilir. Şiddetli yaprak lekesi enfeksiyonları erken yaprak dökülmesine neden olabilir. Şiddetli yaprak dökülmesi meyve boyutunun küçülmesine, güneş yanığına ve meyvenin çatlamasına neden olabilir. Erken yaprak döken ağaçların canlılığı ve kış dayanıklılığı azalır.","Bakteriyel lekenin meyve belirtileri, Cladosporium carpophyllium mantarının neden olduğu şeftali uyuzuyla karıştırılabilir, ancak uyuz lekeleri daha daireseldir, koyu kahverengi/yeşilimsi, tüylü bir görünüme sahiptir ve meyve yüzeyinde çukur oluşturmaz, ancak kabuk çatlaması meydana gelebilir. Uyuz, yaprak belirtilerine neden olmaz ancak dallarda lekelere neden olabilir. Bakteriyel lekenin ilk meyve lekeleri yüzeysel olabilir ancak kraterlere dönüşebilir.",https://www.gardeningknowhow.com/wp-content/uploads/2016/07/bacterial-spot-peach.jpg
18,Şeftali : Sağlıklı,"Şeftali ağaçları USDA Bölgeleri 5 ila 8 veya 9'da yetişir ve bodur veya standart boyutlarda mevcuttur, bu da onları arka bahçe meyve bahçeleri için harika bir seçim haline getirir. Çoğu süs bitkisinin aksine, şeftali ağaçlarının sağlıklı ve üretken kalabilmeleri için düzenli budama, gübreleme ve ilaçlama gerekir. Ağacınızın etrafındaki zemini su ve besin için rekabet edecek çim ve yabani otlardan arındırın ve cömertçe malçlayın.",Besinler ve Antioksidanlarla Doludur. Sindirime Yardımcı Olabilir. Kalp Sağlığını İyileştirebilir. Cildinizi Koruyabilir. Bazı Kanser Türlerini Önleyebilir. Alerji Semptomlarını Azaltabilir. Yaygın Olarak Bulunur ve Diyetinize Eklemesi Kolaydır.,https://www.tasteofhome.com/wp-content/uploads/2019/06/peaches-shutterstock_297863489-1.jpg
19,Biber çanı : Bakteriyel Leke,"Yaşlı yaprakların alt yüzeyinde küçük sivilceler ve üst yaprak yüzeyinde küçük suyla ıslanmış noktalar olarak görülen yaprak lekeleri bakteri lekesinin bir belirtisidir. Bu, Maryland'de önemli bir biber hastalığıdır. Bazen domateslere de saldırır. Sonunda, lekeler daha koyu kenarlı gri ila kahverengi merkezler geliştirir. Lezyonlar sıcak ve nemli havalarda büyür. Yapraklar daha sonra sararabilir, sonra kahverengiye dönebilir ve düşebilir. Lezyonlar ayrıca saplarda da gelişebilir. Meyvelerde yeme kalitesini etkilemeyen küçük, kabarık, pürüzlü noktalar gelişir. Ciddi şekilde enfekte olmuş yapraklar düşerek biberlerde güneş yanığına neden olur. Bakteriyel yaprak lekesi, sıçrayan yağmur ve ıslak, enfekte bitkilerle çalışma yoluyla yayılır. Bu hastalık, yağışlı havalarda bitkileri yapraksız bırakabilir. Sıcak ve kuru hava, bu hastalığın yayılmasını yavaşlatır. Hastalık tohum veya fidelerle gelebilir ve ürün artıklarında ve toprakta kışı geçirebilir.",Dayanıklı çeşitleri seçin Hastalıksız tohum ve fide satın alın. Tohumları %10'luk bir klorlu ağartıcı solüsyonunda (1 kısım ağartıcı; 9 kısım su) 2 dakika bekleterek işleyin. Ekimden önce tohumları iyice durulayın ve kurutun. Bitkileri saman veya çim kırpıntılarıyla kaplı gazete gibi kalın bir organik malzemeyle derinlemesine malçlayın. Üstten sulama yapmaktan kaçının. Sezon sonunda çok enfekte olmuş bitki parçalarını ve tüm kalıntıları çıkarın ve atın. Enfeksiyonun yayılmasını yavaşlatmak için her 10-14 günde bir sabit bakır (organik mantar ilacı) püskürtün. Enfeksiyonlar şiddetliyse biberleri farklı bir yere çevirin ve ekimden önce toprağı siyah plastik malç veya siyah peyzaj beziyle örtün.,https://extension.umd.edu/sites/default/files/_images/programs/grow_it_eat_it/diseases/BacterialLeafSpot/bacterial_leaf_spot_pepper_plant_l.jpg
20,Biber biber : Sağlıklı,"Biberleri iyi sulayın, ancak toprağı asla ıslak bırakmayın. Toprağı yaklaşık 6 inç derinliğinde nemlendirmek için sulayın, sonra hafifçe kurumasını bekleyin. Sulama özellikle meyve tutumu sırasında, minik biberler çiçeklerin yerini aldığında ve biberler olgunlaştığında önemlidir. Tutarlı nem biberlerin sıkı ve sağlıklı kalmasına yardımcı olur.","Kırmızı, Turuncu ve Sarı Dolmalık Biberler harika sağlık faydalarıyla doludur - vitaminlerle doludur ve kalorileri düşüktür! Mükemmel bir A vitamini, C vitamini ve potasyum kaynağıdırlar. Dolmalık Biberler ayrıca sağlıklı bir lif, folat ve demir dozu içerir.",https://www.healthbenefitstimes.com/9/gallery/bell-peppers/dolmalık-biber-yaprakları.jpg
21,Patates : Erken Yanıklık,"Çoğu üretim alanında, erken yanıklık her yıl bir dereceye kadar görülür. Erken yanıklığın şiddeti, yağmur, çiy veya sulamadan kaynaklanan yaprak ıslaklığının sıklığına; yaprakların besin durumuna; ve çeşidin duyarlılığına bağlıdır. Erken yanıklığın ilk belirtileri, eski (alt) yapraklarda küçük, dairesel veya düzensiz, koyu kahverengi ila siyah noktalar olarak görülür. Bu noktalar çap olarak 3/8 inçe kadar büyür ve giderek köşeli hale gelebilir. Genç, tamamen genişlemiş yapraklardaki ilk lezyonlar, kahverengi nokta lezyonlarıyla karıştırılabilir. Bu ilk lezyonlar enfeksiyondan yaklaşık iki ila üç gün sonra ortaya çıkar ve bu lezyonların yüzeyinde daha fazla sporlanma üç ila beş gün sonra meydana gelir.","Erken yanıklığın tedavisi, hastalığa dayanıklı patates çeşitleri ekerek önlemeyi içerir; geç olgunlaşanlar erken olgunlaşan çeşitlerden daha dayanıklıdır. Üstten sulamadan kaçının ve yaprakların olabildiğince çabuk kurumasını sağlamak için bitkiler arasında yeterli havalandırma sağlayın.",https://www.ag.ndsu.edu/publications/crops/early-blight-in-potato/figure-1-opt.jpeg/@@images/468990cc-77a9-4e29-8779-0eb3e94e0407.jpeg
